Процедура,Время,"Цена, ₽"
Nithya,60 мин,11000
Nithya smooth,60 мин,7500
Nithya shield,60 мин,7500
Nithya stimulate,60 мин,7500
Collost MICRO,60 мин,18000
Collapro 30+,60 мин,8800
Collapro 40+,60 мин,9200
Collapro 50+,60 мин,9600
Karisma face,60 мин,22600
