Процедура,"Цена, ₽"
Ноги (до колена),650
Ноги (полностью),1200
Руки (до локтя),400
Руки (полностью),600
Подмышки,400
Усики,350
Среднее бикини,1300
Глубокое бикини,1500
Лицо,500
