Процедура,Время,"Цена, ₽"
BEAUTYPHARMA HYAL-AMIN (гиалуроновая кислота + аминокислоты),,6500
BEAUTYPHARMA LIFT (ДМАЕ + витамины+ олигоэлементы),60 мин,5000
BEAUTYPHARMA SLIM CONTROL (дренажный эффект - уменьшение обьемов),45 мин,4500
BEAUTYPHARMA HYAL (гиалуроновая кислота 3%),60 мин,7000
Beautyfarma slim active (уменьшение объемов плюс подтяжка),45 мин,4500
