Процедура,Время,"Цена, ₽"
Атравматичная чистка лица  жирной кожи,90 мин,3500
Атравматичная чистка лица сухой/чувствительной кожи,90 мин,2900
Комбинированная чистка лица,120 м.,3500
Ультразвуковая чистка лица,80 мин,2500
Механическая чистка лица,90 мин,3500
