Процедура,Время,"Цена, ₽"
Классический массаж лица,30 мин,1500
Лимфодренажный массаж лица,30 мин,1500
Лифтинг массаж,30 мин,1500
Комбинированный массаж лица,30 мин ,1500
Массаж лица экспресс ,20 мин,1000
