Процедура,"Цена, ₽"
"Процедура для жирной кожи Astrigent (очищение,дезинфицирующий тоник,очищающая сыворотка,массаж 10 мин.,маска,крем)",3900
"Процедура для кожи с покраснениями  Calm Derm (очищение,гоммаж,успокаивающий тоник,успокаивающая сыворотка,массаж 10 мин,маска,крем)",3900
"Процедура с витамином С (очищение,скраб,сыворотка с витамином С,массаж,маска с витамином С,завершающий уход.)",3900
"Восстанавливающая процедура Bio Repair (очищение,тонизация,пилинг-гоммаж,сыворотка,массаж,маска,крем)",3900
"Антикуперозная процедура Calm Derm (очищение,тонизация,пилинг-гоммаж,успокаивающая сыворотка,лимфодренажный массаж, маска,крем)",3900
Процедура реабилитации после пилинга,3900
"Процедура лифтинг Age Control (очищение,пилинг-гоммаж,омолаживающая сыворотка,лифтинг-массаж,маска,крем)",3900
"Процедура для сухой кожи Phytomide (очищение,пилинг-гоммаж,",3900
"Отбеливающая процедура Whitening очищение,скраб,осветляющая сыворотка,массаж,маска,крем)",3900
