Препарат,Объем (зависит от места введения препарата),"Цена, ₽ / ед."
Рефайнекс,1 ед,300
Ботулакс,1 ед,300
Kaimax ,1 ед,300
Набота,1 ед,300
PL,1 ед,300
Рентокс,1 ед,300
Релатокс,1 ед,350
Иннотокс,1 ед,300
Дексантекс,1 ед,300
Метокс,1 ед,300
Meditoxin ,1 ед,300
Liztox,1 ед,300
Toxta,1 ед,300
Botox,1 ед,450
Диспорт,1 ед,180
Рефайнекс,1 ед,300
Metox ,1 ед,300
Новакутан БТА,1 ед,350
Corentox,1 ед,300
Hutox ,1 ед,300
Коррекция(через 2-3 недели),,1000
